Window_Index,Min_Probability,Max_Probability,Avg_Probability
267,0.0,11.799999999999999,1.2666666666666666
268,0.0,16.6,1.8266666666666667
269,0.0,24.4,2.44
270,0.0,26.0,2.546666666666667
271,0.0,29.4,2.9999999999999996
272,0.0,30.599999999999998,3.186666666666667
273,0.0,30.599999999999998,3.2133333333333334
274,0.0,36.4,4.426666666666667
275,0.0,40.2,5.466666666666667
276,0.0,41.199999999999996,5.6933333333333325
277,0.0,39.6,5.6000000000000005
278,0.0,40.0,5.48
279,0.0,42.199999999999996,5.866666666666666
280,0.0,49.0,6.906666666666666
281,0.0,50.2,7.253333333333334
282,0.0,51.6,7.640000000000001
283,0.0,51.2,7.813333333333334
284,0.0,53.400000000000006,8.333333333333332
285,0.0,52.400000000000006,8.813333333333334
286,0.0,53.2,9.506666666666668
287,0.0,55.2,9.84
288,0.0,54.6,10.213333333333335
289,0.0,52.800000000000004,9.813333333333334
290,0.0,50.4,8.973333333333334
291,0.0,51.800000000000004,8.88
292,0.0,59.199999999999996,9.84
293,0.0,59.8,10.573333333333332
294,0.0,59.199999999999996,11.733333333333333
295,0.0,59.199999999999996,13.186666666666666
296,0.0,61.8,15.079999999999998
297,0.0,66.4,18.266666666666666
298,0.0,69.8,21.106666666666666
299,0.0,88.2,23.933333333333334
300,0.0,94.39999999999999,26.293333333333337
301,0.0,98.2,29.133333333333333
302,0.0,98.4,33.026666666666664
303,0.2,98.8,40.86666666666667
304,0.2,98.8,41.86666666666666
305,0.6,98.8,41.66666666666667
306,0.6,98.2,41.78666666666667
307,1.0,97.39999999999999,42.25333333333332
308,1.7999999999999998,97.39999999999999,42.74666666666667
309,1.4000000000000001,96.8,41.19999999999999
310,2.8000000000000003,96.6,41.30666666666666
311,3.5999999999999996,96.6,40.906666666666666
312,4.0,96.6,39.559999999999995
313,3.4000000000000004,97.2,37.99999999999999
314,3.2,97.2,36.64
315,3.0,97.2,35.72
316,2.8000000000000003,97.2,35.10666666666667
317,2.4,97.2,34.38666666666666
318,4.0,96.6,35.61333333333334
319,4.2,96.6,35.480000000000004
320,5.0,96.6,34.08
321,5.0,96.0,32.82666666666667
322,4.3999999999999995,95.8,31.106666666666666
323,3.8,95.39999999999999,29.560000000000002
324,2.1999999999999997,95.39999999999999,27.613333333333333
325,0.8,94.0,24.24
326,0.0,91.2,22.359999999999996
327,0.0,89.2,20.226666666666663
328,0.0,88.0,19.399999999999995
329,0.0,85.6,17.479999999999997
330,0.0,81.39999999999999,15.600000000000003
331,0.0,74.0,12.813333333333333
332,0.0,63.4,10.16
333,0.0,56.599999999999994,8.506666666666666
334,0.0,46.6,6.333333333333334
335,0.0,38.800000000000004,4.706666666666667
336,0.0,30.599999999999998,3.2800000000000002
337,0.0,23.200000000000003,2.2400000000000007
338,0.0,11.0,1.2933333333333332
339,0.0,4.8,0.8933333333333333
340,0.0,4.8,0.7066666666666666
341,0.0,4.8,0.6266666666666667
342,0.0,4.8,0.6
343,0.0,5.0,0.6666666666666667
344,0.0,5.800000000000001,0.7066666666666668
345,0.0,5.6000000000000005,0.6266666666666668
346,0.0,4.6,0.5066666666666666
347,0.0,5.0,0.52
348,0.0,5.0,0.48000000000000004
349,0.0,5.0,0.4266666666666667
350,0.0,4.0,0.36000000000000004
351,0.0,2.0,0.17333333333333334
352,0.0,1.6,0.1466666666666667
353,0.0,1.6,0.1466666666666667
354,0.0,0.8,0.08
355,0.0,0.6,0.06666666666666667
356,0.0,0.4,0.05333333333333334
357,0.0,0.4,0.08
358,0.0,0.4,0.06666666666666667
359,0.0,0.4,0.08
360,0.0,0.4,0.08
361,0.0,0.4,0.08
362,0.0,0.6,0.08
